"Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"15NFNB","D",1,87,8,"CAIGE","5:ZIE14",2,1
"15NFNB","D",1,88,8,"CAIGE","6:ZIE14",2,1
"15NFNB","D",1,89,8,"Control","Fathom",5,1
"15NFNB","D",1,90,8,"CAIGE","12:ZIE14",3,1
"15NFNB","D",1,91,8,"CAIGE","14:ZIE14",2,1
"15NFNB","D",1,92,8,"CAIGE","15:ZIE14",2,1
"15NFNB","D",1,93,8,"Control","VB9613",8,1
"15NFNB","D",1,94,8,"CAIGE","1:ZIC14",5,1
"15NFNB","D",1,95,8,"CAIGE","2:ZIC14",3,1
"15NFNB","D",1,96,8,"Control","VB9613",8,1
"15NFNB","D",1,73,9,"Control","VB9613",8,1
"15NFNB","D",1,74,9,"CAIGE","3:ZIC14",5,1
"15NFNB","D",1,75,9,"CAIGE","4:ZIC14",3,1
"15NFNB","D",1,76,9,"CAIGE","5:ZIC14",2,1
"15NFNB","D",1,77,9,"Control","VB9613",8,1
"15NFNB","D",1,78,9,"CAIGE","6:ZIC14",2,1
"15NFNB","D",1,79,9,"CAIGE","7:ZIC14",3,1
"15NFNB","D",1,80,9,"CAIGE","8:ZIC14",3,1
"15NFNB","D",1,81,9,"Control","Bass",7,1
"15NFNB","D",1,82,9,"CAIGE","9:ZIC14",5,1
"15NFNB","D",1,83,9,"CAIGE","10:ZIC14",4,1
"15NFNB","D",1,84,9,"CAIGE","11:ZIC14",5,1
"15NFNB","D",1,85,9,"Control","Fathom",6,1
"15NFNB","D",1,86,9,"CAIGE","12:ZIC14",2,1
"15NFNB","D",1,87,9,"CAIGE","13:ZIC14",2,1
"15NFNB","D",1,88,9,"CAIGE","14:ZIC14",2,1
"15NFNB","D",1,89,9,"Control","VB9613",8,1
"15NFNB","D",1,90,9,"CAIGE","15:ZIC14",2,1
"15NFNB","D",1,91,9,"CAIGE","16:ZIC14",3,1
"15NFNB","D",1,92,9,"CAIGE","17:ZIC14",3,1
"15NFNB","D",1,93,9,"Control","VB9613",8,1
"15NFNB","D",1,94,9,"CAIGE","18:ZIC14",2,1
"15NFNB","D",1,95,9,"CAIGE","19:ZIC14",6,1
"15NFNB","D",1,96,9,"Control","VB9613",8,1
"15NFNB","D",1,73,10,"Control","VB9613",8,1
"15NFNB","D",1,74,10,"CAIGE","20:ZIC14",5,1
"15NFNB","D",1,75,10,"CAIGE","21:ZIC14",4,1
"15NFNB","D",1,76,10,"CAIGE","22:ZIC14",2,1
"15NFNB","D",1,77,10,"Control","VB9613",8,1
"15NFNB","D",1,78,10,"CAIGE","24:ZIC14",2,1
"15NFNB","D",1,79,10,"CAIGE","2:ZIB14",2,1
"15NFNB","D",1,80,10,"CAIGE","3:ZIB14",4,1
"15NFNB","D",1,81,10,"Control","VB9613",8,1
"15NFNB","D",1,82,10,"CAIGE","4:ZIB14",2,1
"15NFNB","D",1,83,10,"CAIGE","5:ZIB14",2,1
"15NFNB","D",1,84,10,"CAIGE","6:ZIB14",2,1
"15NFNB","D",1,85,10,"Control","VB9613",8,1
"15NFNB","D",1,86,10,"CAIGE","7:ZIB14",2,1
"15NFNB","D",1,87,10,"CAIGE","8:ZIB14",2,1
"15NFNB","D",1,88,10,"CAIGE","9:ZIB14",2,1
"15NFNB","D",1,89,10,"Control","VB9613",8,1
"15NFNB","D",1,90,10,"CAIGE","10:ZIB14",3,1
"15NFNB","D",1,91,10,"CAIGE","11:ZIB14",3,1
"15NFNB","D",1,92,10,"CAIGE","12:ZIB14",3,1
