"","Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"1","SFNB15","A",1,9,6,"Control","Fathom",3,3
"2","SFNB15","A",1,12,6,"CAIGE","5:ZIE14",8,3
"3","SFNB15","A",1,13,6,"CAIGE","6:ZIE14",7,3
"4","SFNB15","A",1,14,6,"CAIGE","12:ZIE14",6,3
"5","SFNB15","A",1,15,6,"CAIGE","14:ZIE14",8,3
"6","SFNB15","A",1,16,6,"CAIGE","15:ZIE14",6,3
"7","SFNB15","A",1,17,6,"Control","Compass",6,3
"8","SFNB15","A",1,18,6,"CAIGE","1:ZIC14",5,3
"9","SFNB15","A",1,19,6,"CAIGE","2:ZIC14",6,3
"10","SFNB15","A",1,20,6,"CAIGE","3:ZIC14",6,3
"11","SFNB15","A",1,21,6,"CAIGE","4:ZIC14",7,3
"12","SFNB15","A",1,22,6,"CAIGE","5:ZIC14",6,3
"13","SFNB15","A",1,23,6,"CAIGE","6:ZIC14",6,3
"14","SFNB15","A",1,24,6,"Control","Baudin",6,3
"15","SFNB15","A",1,1,7,"Control","LaTrobe",8,3
"16","SFNB15","A",1,2,7,"CAIGE","7:ZIC14",6,3
"17","SFNB15","A",1,3,7,"CAIGE","8:ZIC14",3,3
"18","SFNB15","A",1,4,7,"CAIGE","9:ZIC14",6,3
"19","SFNB15","A",1,5,7,"CAIGE","10:ZIC14",4,3
"20","SFNB15","A",1,6,7,"CAIGE","11:ZIC14",7,3
"21","SFNB15","A",1,7,7,"CAIGE","12:ZIC14",6,3
"22","SFNB15","A",1,8,7,"CAIGE","13:ZIC14",6,3
"23","SFNB15","A",1,9,7,"Control","Dash",8,3
"24","SFNB15","A",1,10,7,"CAIGE","14:ZIC14",5,3
"25","SFNB15","A",1,11,7,"CAIGE","15:ZIC14",6,3
"26","SFNB15","A",1,12,7,"CAIGE","16:ZIC14",4,3
"27","SFNB15","A",1,13,7,"CAIGE","17:ZIC14",4,3
"28","SFNB15","A",1,14,7,"CAIGE","18:ZIC14",5,3
"29","SFNB15","A",1,15,7,"CAIGE","19:ZIC14",7,3
"30","SFNB15","A",1,16,7,"CAIGE","20:ZIC14",6,3
"31","SFNB15","A",1,17,7,"Control","Commander",6,3
"32","SFNB15","A",1,18,7,"CAIGE","21:ZIC14",6,3
"33","SFNB15","A",1,19,7,"CAIGE","22:ZIC14",6,3
"34","SFNB15","A",1,20,7,"CAIGE","24:ZIC14",7,3
"35","SFNB15","A",1,21,7,"CAIGE","2:ZIB14",4,3
"36","SFNB15","A",1,22,7,"CAIGE","3:ZIB14",7,3
"37","SFNB15","A",1,23,7,"CAIGE","4:ZIB14",7,3
"38","SFNB15","A",1,24,7,"Control","Hindmarsh",8,3
"39","SFNB15","A",1,1,8,"Control","Fathom",3,3
"40","SFNB15","A",1,2,8,"CAIGE","5:ZIB14",6,3
"41","SFNB15","A",1,3,8,"CAIGE","6:ZIB14",5,3
"42","SFNB15","A",1,4,8,"CAIGE","7:ZIB14",6,3
"43","SFNB15","A",1,5,8,"CAIGE","8:ZIB14",6,3
"44","SFNB15","A",1,6,8,"CAIGE","9:ZIB14",6,3
"45","SFNB15","A",1,7,8,"CAIGE","10:ZIB14",7,3
"46","SFNB15","A",1,8,8,"CAIGE","11:ZIB14",8,3
"47","SFNB15","A",1,9,8,"Control","Buloke",6,3
"48","SFNB15","A",1,10,8,"CAIGE","12:ZIB14",4,3
"49","SFNB15","A",1,11,8,"CAIGE","13:ZIB14",5,3
"50","SFNB15","A",1,12,8,"CAIGE","14:ZIB14",6,3
"51","SFNB15","A",1,13,8,"CAIGE","16:ZIB14",7,3
"52","SFNB15","A",1,14,8,"CAIGE","17:ZIB14",6,3
"53","SFNB15","A",1,15,8,"CAIGE","18:ZIB14",7,3
"54","SFNB15","A",1,16,8,"CAIGE","19:ZIB14",6,3
"55","SFNB15","A",1,17,8,"Control","Dash",8,3
"56","SFNB15","A",1,18,8,"CAIGE","20:ZIB14",8,3
"57","SFNB15","A",1,19,8,"CAIGE","21:ZIB14",7,3
"58","SFNB15","A",1,20,8,"CAIGE","22:ZIB14",6,3
"59","SFNB15","A",1,21,8,"CAIGE","23:ZIB14",6,3
"60","SFNB15","A",1,22,8,"CAIGE","24:ZIB14",6,3
"61","SFNB15","A",1,23,8,"CAIGE","2:ZID14",5,3
"62","SFNB15","A",1,24,8,"Control","Fathom",3,3
"63","SFNB15","A",1,1,9,"Control","Buloke",6,3
"64","SFNB15","A",1,2,9,"CAIGE","3:ZID14",7,3
"65","SFNB15","A",1,3,9,"CAIGE","4:ZID14",6,3
"66","SFNB15","A",1,4,9,"CAIGE","5:ZID14",6,3
"67","SFNB15","A",1,5,9,"CAIGE","6:ZID14",6,3
"68","SFNB15","A",1,6,9,"CAIGE","7:ZID14",4,3
"69","SFNB15","A",1,7,9,"CAIGE","8:ZID14",6,3
"70","SFNB15","A",1,8,9,"CAIGE","9:ZID14",8,3
"71","SFNB15","A",1,9,9,"Control","Schooner",5,3
"72","SFNB15","A",1,10,9,"CAIGE","10:ZID14",8,3
"73","SFNB15","A",1,11,9,"CAIGE","11:ZID14",8,3
"74","SFNB15","A",1,12,9,"CAIGE","12:ZID14",7,3
"75","SFNB15","A",1,13,9,"CAIGE","13:ZID14",7,3
"76","SFNB15","A",1,14,9,"CAIGE","14:ZID14",6,3
"77","SFNB15","A",1,15,9,"CAIGE","15:ZID14",6,3
"78","SFNB15","A",1,16,9,"CAIGE","16:ZID14",8,3
"79","SFNB15","A",1,17,9,"Control","Fleet",4,3
"80","SFNB15","A",1,18,9,"CAIGE","17:ZID14",7,3
"81","SFNB15","A",1,19,9,"CAIGE","18:ZID14",6,3
"82","SFNB15","A",1,20,9,"CAIGE","19:ZID14",5,3
"83","SFNB15","A",1,21,9,"CAIGE","22:ZID14",5,3
"84","SFNB15","A",1,22,9,"CAIGE","23:ZID14",5,3
"85","SFNB15","A",1,23,9,"CAIGE","24:ZID14",3,3
"86","SFNB15","A",1,24,9,"Control","Commander",6,3
"87","SFNB15","A",1,1,10,"Control","Dash",8,3
"88","SFNB15","A",1,2,10,"CAIGE","25:ZID14",7,3
"89","SFNB15","A",1,3,10,"CAIGE","26:ZID14",5,3
"90","SFNB15","A",1,4,10,"CAIGE","27:ZID14",6,3
"91","SFNB15","A",1,5,10,"CAIGE","28:ZID14",5,3
"92","SFNB15","A",1,6,10,"CAIGE","29:ZID14",7,3
"93","SFNB15","A",1,7,10,"CAIGE","31:ZID14",7,3
"94","SFNB15","A",1,8,10,"CAIGE","32:ZID14",7,3
"95","SFNB15","A",1,9,10,"Control","Dash",8,3
"96","SFNB15","A",1,10,10,"CAIGE","33:ZID14",5,3
"97","SFNB15","A",1,11,10,"CAIGE","34:ZID14",7,3
"98","SFNB15","A",1,12,10,"CAIGE","35:ZID14",7,3
"99","SFNB15","A",1,13,10,"CAIGE","36:ZID14",7,3
"100","SFNB15","A",1,14,10,"CAIGE","37:ZID14",6,3
"101","SFNB15","A",1,15,10,"CAIGE","38:ZID14",6,3
"102","SFNB15","A",1,16,10,"CAIGE","39:ZID14",6,3
"103","SFNB15","A",1,17,10,"Control","LaTrobe",8,3
"104","SFNB15","A",1,18,10,"CAIGE","41:ZID14",7,3
"105","SFNB15","A",1,19,10,"CAIGE","42:ZID14",8,3
"106","SFNB15","A",1,20,10,"CAIGE","43:ZID14",5,3
"107","SFNB15","A",1,21,10,"CAIGE","44:ZID14",5,3
"108","SFNB15","A",1,22,10,"CAIGE","45:ZID14",5,3
"109","SFNB15","A",1,23,10,"CAIGE","46:ZID14",6,3
"110","SFNB15","A",1,24,10,"Control","Keel",3,3
"111","SFNB15","A",1,1,12,"Control","Compass",6,3
"112","SFNB15","A",1,2,12,"CAIGE","47:ZID14",7,3
"113","SFNB15","A",1,3,12,"CAIGE","48:ZID14",5,3
"114","SFNB15","A",1,4,12,"CAIGE","49:ZID14",7,3
"115","SFNB15","A",1,5,12,"CAIGE","51:ZID14",6,3
"116","SFNB15","A",1,6,12,"CAIGE","52:ZID14",4,3
"117","SFNB15","A",1,7,12,"CAIGE","53:ZID14",7,3
"118","SFNB15","A",1,8,12,"CAIGE","54:ZID14",7,3
"119","SFNB15","A",1,9,12,"Control","Keel",4,3
"120","SFNB15","A",1,10,12,"CAIGE","55:ZID14",7,3
"121","SFNB15","A",1,11,12,"CAIGE","57:ZID14",8,3
"122","SFNB15","A",1,12,12,"CAIGE","58:ZID14",5,3
"123","SFNB15","A",1,13,12,"CAIGE","59:ZID14",6,3
"124","SFNB15","A",1,14,12,"CAIGE","61:ZID14",7,3
