Trial,Bay,Block,Row,Range,Expt_15,Name,SFNB 22/9/15
SFNB15,A,1,9,6,Control,Fathom,3
SFNB15,A,1,10,6,Filler,Wheat,
SFNB15,A,1,11,6,Filler,Wheat,
SFNB15,A,1,12,6,CAIGE,5:ZIE14,8
SFNB15,A,1,13,6,CAIGE,6:ZIE14,7
SFNB15,A,1,14,6,CAIGE,12:ZIE14,6
SFNB15,A,1,15,6,CAIGE,14:ZIE14,8
SFNB15,A,1,16,6,CAIGE,15:ZIE14,6
SFNB15,A,1,17,6,Control,Compass,6
SFNB15,A,1,18,6,CAIGE,1:ZIC14,5
SFNB15,A,1,19,6,CAIGE,2:ZIC14,6
SFNB15,A,1,20,6,CAIGE,3:ZIC14,6
SFNB15,A,1,21,6,CAIGE,4:ZIC14,7
SFNB15,A,1,22,6,CAIGE,5:ZIC14,6
SFNB15,A,1,23,6,CAIGE,6:ZIC14,6
SFNB15,A,1,24,6,Control,Baudin,6
SFNB15,A,1,1,7,Control,LaTrobe,8
SFNB15,A,1,2,7,CAIGE,7:ZIC14,6
SFNB15,A,1,3,7,CAIGE,8:ZIC14,3
SFNB15,A,1,4,7,CAIGE,9:ZIC14,6
SFNB15,A,1,5,7,CAIGE,10:ZIC14,4
SFNB15,A,1,6,7,CAIGE,11:ZIC14,7
SFNB15,A,1,7,7,CAIGE,12:ZIC14,6
SFNB15,A,1,8,7,CAIGE,13:ZIC14,6
SFNB15,A,1,9,7,Control,Dash,8
SFNB15,A,1,10,7,CAIGE,14:ZIC14,5
SFNB15,A,1,11,7,CAIGE,15:ZIC14,6
SFNB15,A,1,12,7,CAIGE,16:ZIC14,4
SFNB15,A,1,13,7,CAIGE,17:ZIC14,4
SFNB15,A,1,14,7,CAIGE,18:ZIC14,5
SFNB15,A,1,15,7,CAIGE,19:ZIC14,7
SFNB15,A,1,16,7,CAIGE,20:ZIC14,6
SFNB15,A,1,17,7,Control,Commander,6
SFNB15,A,1,18,7,CAIGE,21:ZIC14,6
SFNB15,A,1,19,7,CAIGE,22:ZIC14,6
SFNB15,A,1,20,7,CAIGE,24:ZIC14,7
SFNB15,A,1,21,7,CAIGE,2:ZIB14,4
SFNB15,A,1,22,7,CAIGE,3:ZIB14,7
SFNB15,A,1,23,7,CAIGE,4:ZIB14,7
SFNB15,A,1,24,7,Control,Hindmarsh,8
SFNB15,A,1,1,8,Control,Fathom,3
SFNB15,A,1,2,8,CAIGE,5:ZIB14,6
