Trial,Bay,Block,Range,Row,Expt_15,Name,Blr 23/11
BLr'16,A,2,22,1,Control,Navigator,8
BLr'16,A,2,22,2,CAIGE 1,1:LAN15,5
BLr'16,A,2,22,3,CAIGE 1,3:LAN15,5
BLr'16,A,2,22,4,Control,Baudin,8
BLr'16,A,2,22,5,CAIGE 1,4:LAN15,4
BLr'16,A,2,22,6,CAIGE 1,6:LAN15,5
BLr'16,A,2,22,7,Control,Navigator,8
BLr'16,A,2,22,8,CAIGE 1,7:LAN15,4
BLr'16,A,2,22,9,CAIGE 1,8:LAN15,4
BLr'16,A,2,22,10,Control,Baudin,7
BLr'16,A,2,22,11,CAIGE 1,10:LAN15,5
BLr'16,A,2,22,12,CAIGE 1,13:LAN15,4
BLr'16,A,2,22,13,Control,Navigator,8
BLr'16,A,2,22,14,CAIGE 1,14:LAN15,5
BLr'16,A,2,22,15,CAIGE 1,16:LAN15,5
BLr'16,A,2,22,16,Control,Baudin,7
BLr'16,A,2,22,17,CAIGE 1,18:LAN15,3
BLr'16,A,2,22,18,CAIGE 1,19:LAN15,6
BLr'16,A,2,22,19,Control,Navigator,8
BLr'16,A,2,22,20,CAIGE 1,20:LAN15,4
BLr'16,A,2,22,21,CAIGE 1,22:LAN15,5
BLr'16,A,2,22,22,Control,Baudin,7
BLr'16,A,2,22,23,CAIGE 1,23:LAN15,8
BLr'16,A,2,22,24,Control,Navigator,7
BLr'16,A,2,23,1,Control,Navigator,8
BLr'16,A,2,23,2,CAIGE 1,25:LAN15,7
BLr'16,A,2,23,3,CAIGE 1,1:ZBS15,6
BLr'16,A,2,23,4,Control,Baudin,8
BLr'16,A,2,23,5,CAIGE 1,3:ZBS15,3
BLr'16,A,2,23,6,CAIGE 1,4:ZBS15,8
BLr'16,A,2,23,7,Control,Navigator,8
BLr'16,A,2,23,8,CAIGE 1,5:ZBS15,6
BLr'16,A,2,23,9,CAIGE 1,6:ZBS15,5
BLr'16,A,2,23,10,Control,Baudin,7
BLr'16,A,2,23,11,CAIGE 1,7:ZBS15,4
BLr'16,A,2,23,12,CAIGE 1,8:ZBS15,7
BLr'16,A,2,23,13,Control,Navigator,8
BLr'16,A,2,23,14,CAIGE 1,9:ZBS15,5
BLr'16,A,2,23,15,CAIGE 1,10:ZBS15,7
BLr'16,A,2,23,16,Control,Baudin,7
BLr'16,A,2,23,17,CAIGE 1,11:ZBS15,3
BLr'16,A,2,23,18,CAIGE 1,12:ZBS15,3
BLr'16,A,2,23,19,Control,Navigator,8
BLr'16,A,2,23,20,CAIGE 1,16:ZBS15,8
BLr'16,A,2,23,21,CAIGE 1,18:ZBS15,7
BLr'16,A,2,23,22,Control,Baudin,7
BLr'16,A,2,23,23,CAIGE 1,20:ZBS15,8
BLr'16,A,2,23,24,Control,Navigator,8
BLr'16,A,2,24,1,Control,Navigator,8
BLr'16,A,2,24,2,CAIGE 1,21:ZBS15,5
BLr'16,A,2,24,3,CAIGE 1,23:ZBS15,8
BLr'16,A,2,24,4,Control,Baudin,8
BLr'16,A,2,24,5,CAIGE 1,24:ZBS15,6
BLr'16,A,2,24,6,CAIGE 1,25:ZBS15,6
BLr'16,A,2,24,7,Control,Navigator,9
BLr'16,A,2,24,8,CAIGE 1,28:ZBS15,8
BLr'16,A,2,24,9,CAIGE 1,29:ZBS15,7
BLr'16,A,2,24,10,Control,Baudin,8
BLr'16,A,2,24,11,CAIGE 1,31:ZBS15,7
BLr'16,A,2,24,12,CAIGE 1,32:ZBS15,6
BLr'16,A,2,24,13,Control,Navigator,8
BLr'16,A,2,24,14,CAIGE 1,33:ZBS15,7
BLr'16,A,2,24,15,CAIGE 1,34:ZBS15,7
BLr'16,A,2,24,16,Control,Baudin,9
BLr'16,A,2,24,17,CAIGE 1,36:ZBS15,6
BLr'16,A,2,24,18,CAIGE 1,37:ZBS15,8
BLr'16,A,2,24,19,Control,Navigator,8
BLr'16,A,2,24,20,CAIGE 1,38:ZBS15,6
BLr'16,A,2,24,21,CAIGE 1,39:ZBS15,7
BLr'16,A,2,24,22,Control,Baudin,8
BLr'16,A,2,24,23,CAIGE 1,40:ZBS15,3
BLr'16,A,2,24,24,Control,Navigator,8
BLr'16,A,2,25,1,Control,Navigator,8
BLr'16,A,2,25,2,CAIGE 1,42:ZBS15,4
BLr'16,A,2,25,3,CAIGE 1,43:ZBS15,7
BLr'16,A,2,25,4,Control,Baudin,8
BLr'16,A,2,25,5,CAIGE 1,44:ZBS15,6
BLr'16,A,2,25,6,CAIGE 1,46:ZBS15,7
BLr'16,A,2,25,7,Control,Navigator,8
BLr'16,A,2,25,8,CAIGE 1,47:ZBS15,7
BLr'16,A,2,25,9,CAIGE 1,51:ZBS15,6
BLr'16,A,2,25,10,Control,Baudin,8
BLr'16,A,2,25,11,CAIGE 1,54:ZBS15,7
BLr'16,A,2,25,12,CAIGE 1,55:ZBS15,5
BLr'16,A,2,25,13,Control,Navigator,9
BLr'16,A,2,25,14,CAIGE 1,56:ZBS15,7
BLr'16,A,2,25,15,CAIGE 1,57:ZBS15,8
BLr'16,A,2,25,16,Control,Baudin,7
BLr'16,A,2,25,17,CAIGE 1,58:ZBS15,7
BLr'16,A,2,25,18,CAIGE 1,59:ZBS15,7
BLr'16,A,2,25,19,Control,Navigator,8
BLr'16,A,2,25,20,CAIGE 1,61:ZBS15,6
BLr'16,A,2,25,21,CAIGE 1,62:ZBS15,6
BLr'16,A,2,25,22,Control,Baudin,7
BLr'16,A,2,25,23,CAIGE 1,63:ZBS15,8
BLr'16,A,2,25,24,Control,Navigator,8
BLr'16,A,2,26,1,Control,Navigator,8
BLr'16,A,2,26,2,CAIGE 1,64:ZBS15,7
BLr'16,A,2,26,3,CAIGE 1,65:ZBS15,7
BLr'16,A,2,26,4,Control,Baudin,7
BLr'16,A,2,26,5,CAIGE 1,66:ZBS15,3
BLr'16,A,2,26,6,CAIGE 1,67:ZBS15,3
BLr'16,A,2,26,7,Control,Navigator,8
BLr'16,A,2,26,8,CAIGE 1,68:ZBS15,8
BLr'16,A,2,26,9,CAIGE 1,69:ZBS15,7
BLr'16,A,2,26,10,Control,Baudin,8
BLr'16,A,2,26,11,CAIGE 1,70:ZBS15,8
BLr'16,A,2,26,12,CAIGE 1,71:ZBS15,7
BLr'16,A,2,26,13,Control,Navigator,8
BLr'16,A,2,26,14,CAIGE 1,72:ZBS15,6
BLr'16,A,2,26,15,CAIGE 1,74:ZBS15,6
BLr'16,A,2,26,16,Control,Baudin,8
BLr'16,A,2,26,17,CAIGE 1,75:ZBS15,7
BLr'16,A,2,26,18,CAIGE 1,76:ZBS15,6
BLr'16,A,2,26,19,Control,Navigator,8
BLr'16,A,2,26,20,CAIGE 1,79:ZBS15,7
BLr'16,A,2,26,21,CAIGE 1,80:ZBS15,6
BLr'16,A,2,26,22,Control,Baudin,8
BLr'16,A,2,26,23,CAIGE 1,82:ZBS15,8
BLr'16,A,2,26,24,Control,Navigator,7
BLr'16,A,2,27,1,Control,Navigator,7
BLr'16,A,2,27,2,CAIGE 1,83:ZBS15,6
BLr'16,A,2,27,3,CAIGE 1,84:ZBS15,6
BLr'16,A,2,27,4,Control,Baudin,7
BLr'16,A,2,27,5,CAIGE 1,85:ZBS15,6
BLr'16,A,2,27,6,CAIGE 1,86:ZBS15,6
BLr'16,A,2,27,7,Control,Navigator,8
BLr'16,A,2,27,8,CAIGE 1,87:ZBS15,8
BLr'16,A,2,27,9,CAIGE 1,88:ZBS15,8
BLr'16,A,2,27,10,Control,Baudin,9
BLr'16,A,2,27,11,CAIGE 1,89:ZBS15,5
BLr'16,A,2,27,12,CAIGE 1,90:ZBS15,5
BLr'16,A,2,27,13,Control,Navigator,8
BLr'16,A,2,27,14,CAIGE 1,2:ZIB15,4
BLr'16,A,2,27,15,CAIGE 1,3:ZIB15,3
BLr'16,A,2,27,16,Control,Baudin,8
BLr'16,A,2,27,17,CAIGE 1,4:ZIB15,4
BLr'16,A,2,27,18,CAIGE 1,6:ZIB15,3
BLr'16,A,2,27,19,Control,Navigator,8
BLr'16,A,2,27,20,CAIGE 1,7:ZIB15,3
BLr'16,A,2,27,21,CAIGE 1,8:ZIB15,4
BLr'16,A,2,27,22,Control,Baudin,7
BLr'16,A,2,27,23,CAIGE 1,9:ZIB15,5
BLr'16,A,2,27,24,Control,Navigator,7
BLr'16,A,2,28,1,Control,Navigator,7
