Trial,Bay,Block,Row,Range,Expt_16,Name,NFNB 29/7/16 Z31,NFNB 6/10/16 Z60-9.
NFNB '16,A,1,1,15,Control,VB9613,8,9
NFNB '16,A,1,2,15,CAIGE 1,1:LAN15,2,scald
NFNB '16,A,1,3,15,CAIGE 1,3:LAN15,4,3
NFNB '16,A,1,4,15,CAIGE 1,4:LAN15,3,scald
NFNB '16,A,1,5,15,Control,Gairdner,4,5
NFNB '16,A,1,6,15,CAIGE 1,6:LAN15,3,2
NFNB '16,A,1,7,15,CAIGE 1,7:LAN15,6,7
NFNB '16,A,1,8,15,CAIGE 1,8:LAN15,2,3
NFNB '16,A,1,9,15,Control,Flinders,6,3
NFNB '16,A,1,10,15,CAIGE 1,10:LAN15,2,3
NFNB '16,A,1,11,15,CAIGE 1,13:LAN15,2,2
NFNB '16,A,1,12,15,CAIGE 1,14:LAN15,2,2
NFNB '16,A,1,13,15,Control,Bass,8,8
NFNB '16,A,1,14,15,CAIGE 1,16:LAN15,2,2
NFNB '16,A,1,15,15,CAIGE 1,18:LAN15,2,lodged
NFNB '16,A,1,16,15,CAIGE 1,19:LAN15,5,lodged
NFNB '16,A,1,17,15,Control,Bass,8,8
NFNB '16,A,1,18,15,CAIGE 1,20:LAN15,2,lodged
NFNB '16,A,1,19,15,CAIGE 1,22:LAN15,4,2
NFNB '16,A,1,20,15,CAIGE 1,23:LAN15,2,2
NFNB '16,A,1,21,15,Control,VB9613,7,9
NFNB '16,A,1,22,15,CAIGE 1,25:LAN15,2,2
NFNB '16,A,1,23,15,CAIGE 1,1:ZBS15,3,2
NFNB '16,A,1,24,15,Control,La Trobe,5,
NFNB '16,A,1,1,16,Control,Fathom,6,6
NFNB '16,A,1,2,16,CAIGE 1,3:ZBS15,2,2
NFNB '16,A,1,3,16,CAIGE 1,4:ZBS15,2,2
NFNB '16,A,1,4,16,CAIGE 1,5:ZBS15,5,5
NFNB '16,A,1,5,16,Control,La Trobe,6,8
NFNB '16,A,1,6,16,CAIGE 1,6:ZBS15,4,3
NFNB '16,A,1,7,16,CAIGE 1,7:ZBS15,3,2
NFNB '16,A,1,8,16,CAIGE 1,8:ZBS15,3,2
NFNB '16,A,1,9,16,Control,Fathom,6,6
NFNB '16,A,1,10,16,CAIGE 1,9:ZBS15,7,9
NFNB '16,A,1,11,16,CAIGE 1,10:ZBS15,3,2
NFNB '16,A,1,12,16,CAIGE 1,11:ZBS15,2,2
NFNB '16,A,1,13,16,Control,VB9613,7,9
NFNB '16,A,1,14,16,CAIGE 1,12:ZBS15,2,2
NFNB '16,A,1,15,16,CAIGE 1,16:ZBS15,3,3
NFNB '16,A,1,16,16,CAIGE 1,18:ZBS15,2,2
NFNB '16,A,1,17,16,Control,La Trobe,6,8
NFNB '16,A,1,18,16,CAIGE 1,20:ZBS15,3,2
NFNB '16,A,1,19,16,CAIGE 1,21:ZBS15,2,2
NFNB '16,A,1,20,16,CAIGE 1,23:ZBS15,3,4
NFNB '16,A,1,21,16,Control,VB9613,7,9
NFNB '16,A,1,22,16,CAIGE 1,24:ZBS15,4,2
NFNB '16,A,1,23,16,CAIGE 1,25:ZBS15,4,3
NFNB '16,A,1,24,16,Control,La Trobe,7,9
NFNB '16,A,1,1,17,Control,La Trobe,6,9
NFNB '16,A,1,2,17,CAIGE 1,28:ZBS15,6,6
NFNB '16,A,1,3,17,CAIGE 1,29:ZBS15,6,9
NFNB '16,A,1,4,17,CAIGE 1,31:ZBS15,5,3
NFNB '16,A,1,5,17,Control,VB9613,7,9
NFNB '16,A,1,6,17,CAIGE 1,32:ZBS15,4,3
NFNB '16,A,1,7,17,CAIGE 1,33:ZBS15,4,3
NFNB '16,A,1,8,17,CAIGE 1,34:ZBS15,3,scald
NFNB '16,A,1,9,17,Control,Compass,5,5
NFNB '16,A,1,10,17,CAIGE 1,36:ZBS15,3,2
