Trial,Bay,Block,Range,Row,Expt_15,Name,SFNB 3/8/16 Z25-31,SFNB 7/10/16 Z55-66
SFNB '16,B,1,6,25,Control,Gairdner,7,6
SFNB '16,B,1,6,26,CAIGE 1,1:LAN15,5,5
SFNB '16,B,1,6,27,CAIGE 1,3:LAN15,5,5
SFNB '16,B,1,6,28,CAIGE 1,4:LAN15,5,6
SFNB '16,B,1,6,29,CAIGE 1,6:LAN15,5,5
SFNB '16,B,1,6,30,CAIGE 1,7:LAN15,6,6
SFNB '16,B,1,6,31,CAIGE 1,8:LAN15,4,3
SFNB '16,B,1,6,32,CAIGE 1,10:LAN15,5,5
SFNB '16,B,1,6,33,Control,Hindmarsh,7,8
SFNB '16,B,1,6,34,CAIGE 1,13:LAN15,5,6
SFNB '16,B,1,6,35,CAIGE 1,14:LAN15,5,6
SFNB '16,B,1,6,36,CAIGE 1,16:LAN15,4,6
SFNB '16,B,1,6,37,CAIGE 1,18:LAN15,4,5
SFNB '16,B,1,6,38,CAIGE 1,19:LAN15,7,6
SFNB '16,B,1,6,39,CAIGE 1,20:LAN15,7,6
SFNB '16,B,1,6,40,CAIGE 1,22:LAN15,6,6
SFNB '16,B,1,6,41,Control,Dash,7,8
SFNB '16,B,1,6,42,CAIGE 1,23:LAN15,5,5
SFNB '16,B,1,6,43,CAIGE 1,25:LAN15,6,6
SFNB '16,B,1,6,44,CAIGE 1,1:ZBS15,6,5
SFNB '16,B,1,6,45,CAIGE 1,3:ZBS15,5,4
SFNB '16,B,1,6,46,CAIGE 1,4:ZBS15,7,5
SFNB '16,B,1,6,47,CAIGE 1,5:ZBS15,6,6
SFNB '16,B,1,6,48,Control,Buloke,6,6
SFNB '16,B,1,7,25,Control,Dash,7,8
SFNB '16,B,1,7,26,CAIGE 1,6:ZBS15,6,5
SFNB '16,B,1,7,27,CAIGE 1,7:ZBS15,6,5
SFNB '16,B,1,7,28,CAIGE 1,8:ZBS15,7,5
SFNB '16,B,1,7,29,CAIGE 1,9:ZBS15,5,nfnb
SFNB '16,B,1,7,30,CAIGE 1,10:ZBS15,6,6
SFNB '16,B,1,7,31,CAIGE 1,11:ZBS15,6,6
SFNB '16,B,1,7,32,CAIGE 1,12:ZBS15,6,5
SFNB '16,B,1,7,33,Control,SY Rattler,8,7
SFNB '16,B,1,7,34,CAIGE 1,16:ZBS15,4,5
SFNB '16,B,1,7,35,CAIGE 1,18:ZBS15,5,4
SFNB '16,B,1,7,36,CAIGE 1,20:ZBS15,4,4
SFNB '16,B,1,7,37,CAIGE 1,21:ZBS15,5,5
SFNB '16,B,1,7,38,CAIGE 1,23:ZBS15,7,5
SFNB '16,B,1,7,39,CAIGE 1,24:ZBS15,5,4
SFNB '16,B,1,7,40,CAIGE 1,25:ZBS15,7,5
SFNB '16,B,1,7,41,Control,La Trobe,3,6
SFNB '16,B,1,7,42,CAIGE 1,28:ZBS15,7,5
SFNB '16,B,1,7,43,CAIGE 1,29:ZBS15,5,nfnb
SFNB '16,B,1,7,44,CAIGE 1,31:ZBS15,8,8
SFNB '16,B,1,7,45,CAIGE 1,32:ZBS15,7,6
SFNB '16,B,1,7,46,CAIGE 1,33:ZBS15,5,4
SFNB '16,B,1,7,47,CAIGE 1,34:ZBS15,3,7
SFNB '16,B,1,7,48,Control,Gairdner,6,7
SFNB '16,B,1,8,25,Control,Dash,8,8
SFNB '16,B,1,8,26,CAIGE 1,36:ZBS15,6,7
SFNB '16,B,1,8,27,CAIGE 1,37:ZBS15,6,5
SFNB '16,B,1,8,28,CAIGE 1,38:ZBS15,6,7
SFNB '16,B,1,8,29,CAIGE 1,39:ZBS15,6,7
SFNB '16,B,1,8,30,CAIGE 1,40:ZBS15,6,7
SFNB '16,B,1,8,31,CAIGE 1,42:ZBS15,7,6
SFNB '16,B,1,8,32,CAIGE 1,43:ZBS15,7,5
SFNB '16,B,1,8,33,Control,Fathom,3,3
SFNB '16,B,1,8,34,CAIGE 1,44:ZBS15,6,6
SFNB '16,B,1,8,35,CAIGE 1,46:ZBS15,5,5
SFNB '16,B,1,8,36,CAIGE 1,47:ZBS15,7,7
SFNB '16,B,1,8,37,CAIGE 1,51:ZBS15,7,7
SFNB '16,B,1,8,38,CAIGE 1,54:ZBS15,6,6
SFNB '16,B,1,8,39,CAIGE 1,55:ZBS15,6,5
SFNB '16,B,1,8,40,CAIGE 1,56:ZBS15,6,7
SFNB '16,B,1,8,41,Control,Hindmarsh,8,8
SFNB '16,B,1,8,42,CAIGE 1,57:ZBS15,6,6
SFNB '16,B,1,8,43,CAIGE 1,58:ZBS15,5,6
SFNB '16,B,1,8,44,CAIGE 1,59:ZBS15,6,6
SFNB '16,B,1,8,45,CAIGE 1,61:ZBS15,5,5
SFNB '16,B,1,8,46,CAIGE 1,62:ZBS15,5,6
