Trial,Bay,Block,Row,Range,Expt_17,Name,Blr 13/11/17
BLr'17,B,1,29,10,CAIGE,1:LAN16,8
BLr'17,B,1,42,7,CAIGE,1:ZIB16,5
BLr'17,B,1,47,8,CAIGE,1:ZIC16,6
BLr'17,B,1,42,10,CAIGE,10:LAN16,5
BLr'17,B,1,32,8,CAIGE,10:ZIB16,7
BLr'17,B,1,38,9,CAIGE,10:ZIC16,6
BLr'17,A,1,23,15,CAIGE,100:ZBS16,6
BLr'17,A,1,17,18,CAIGE,100:ZBT16,6
BLr'17,A,1,18,18,CAIGE,102:ZBT16,3
BLr'17,A,1,20,18,CAIGE,103:ZBT16,5
BLr'17,A,1,21,18,CAIGE,108:ZBT16,5
BLr'17,B,1,44,10,CAIGE,11:LAN16,3
BLr'17,A,1,11,16,CAIGE,11:ZBT16,4
BLr'17,A,1,17,13,CAIGE,11:ZIC15,5
BLr'17,B,1,39,9,CAIGE,11:ZIC16,6
BLr'17,A,1,23,18,CAIGE,110:ZBT16,5
BLr'17,A,1,2,19,CAIGE,116:ZBT16,3
BLr'17,A,1,3,19,CAIGE,119:ZBT16,4
BLr'17,A,1,6,12,CAIGE,12:LAN15,5
BLr'17,B,1,45,10,CAIGE,12:LAN16,3
BLr'17,A,1,12,16,CAIGE,12:ZBT16,4
BLr'17,A,1,14,13,CAIGE,12:ZIB15,5
BLr'17,B,1,33,8,CAIGE,12:ZIB16,3
BLr'17,B,1,41,9,CAIGE,12:ZIC16,2
BLr'17,A,1,5,19,CAIGE,124:ZBT16,6
BLr'17,A,1,6,19,CAIGE,125:ZBT16,5
BLr'17,A,1,8,19,CAIGE,126:ZBT16,6
BLr'17,A,1,9,19,CAIGE,129:ZBT16,4
BLr'17,B,1,47,10,CAIGE,13:LAN16,7
BLr'17,A,1,3,14,CAIGE,13:ZBS16,2
BLr'17,B,1,35,8,CAIGE,13:ZIB16,3
BLr'17,B,1,42,9,CAIGE,13:ZIC16,3
BLr'17,A,1,11,19,CAIGE,132:ZBT16,5
BLr'17,A,1,12,19,CAIGE,135:ZBT16,5
BLr'17,A,1,14,19,CAIGE,136:ZBT16,6
BLr'17,B,1,26,12,CAIGE,14:LAN16,6
BLr'17,A,1,14,12,CAIGE,14:ZBS15,2
BLr'17,B,1,36,8,CAIGE,14:ZIB16,5
BLr'17,A,1,15,19,CAIGE,142:ZBT16,2
BLr'17,A,1,17,19,CAIGE,145:ZBT16,4
BLr'17,A,1,18,19,CAIGE,148:ZBT16,5
BLr'17,A,1,8,12,CAIGE,15:LAN15,5
BLr'17,B,1,27,12,CAIGE,15:LAN16,5
BLr'17,A,1,15,12,CAIGE,15:ZBS15,3
BLr'17,B,1,38,8,CAIGE,15:ZIB16,3
BLr'17,B,1,44,9,CAIGE,15:ZIC16,5
BLr'17,A,1,20,19,CAIGE,150:ZBT16,5
BLr'17,A,1,21,19,CAIGE,152:ZBT16,6
BLr'17,A,1,23,19,CAIGE,153:ZBT16,6
BLr'17,B,1,29,6,CAIGE,155:ZBT16,3
BLr'17,B,1,30,6,CAIGE,157:ZBT16,4
BLr'17,B,1,32,6,CAIGE,158:ZBT16,6
BLr'17,B,1,29,12,CAIGE,16:LAN16,5
BLr'17,A,1,5,14,CAIGE,16:ZBS16,4
BLr'17,B,1,39,8,CAIGE,16:ZIB16,2
BLr'17,B,1,45,9,CAIGE,16:ZIC16,5
BLr'17,B,1,33,6,CAIGE,163:ZBT16,4
BLr'17,B,1,35,6,CAIGE,169:ZBT16,7
BLr'17,A,1,9,12,CAIGE,17:LAN15,5
BLr'17,B,1,30,12,CAIGE,17:LAN16,4
BLr'17,A,1,14,16,CAIGE,17:ZBT16,7
BLr'17,B,1,41,8,CAIGE,17:ZIB16,5
BLr'17,B,1,47,9,CAIGE,17:ZIC16,6
BLr'17,B,1,36,6,CAIGE,175:ZBT16,4
BLr'17,B,1,38,6,CAIGE,177:ZBT16,4
BLr'17,B,1,39,6,CAIGE,179:ZBT16,6
BLr'17,B,1,32,12,CAIGE,18:LAN16,5
BLr'17,A,1,6,14,CAIGE,18:ZBS16,4
BLr'17,A,1,15,16,CAIGE,18:ZBT16,5
BLr'17,B,1,42,8,CAIGE,18:ZIB16,2
BLr'17,A,1,18,13,CAIGE,18:ZIC15,5
BLr'17,B,1,41,6,CAIGE,180:ZBT16,6
BLr'17,B,1,42,6,CAIGE,182:ZBT16,6
BLr'17,B,1,44,6,CAIGE,183:ZBT16,5
BLr'17,B,1,45,6,CAIGE,188:ZBT16,6
BLr'17,B,1,33,12,CAIGE,19:LAN16,3
BLr'17,A,1,17,12,CAIGE,19:ZBS15,3
BLr'17,B,1,44,8,CAIGE,19:ZIB16,2
BLr'17,B,1,47,6,CAIGE,191:ZBT16,6
BLr'17,B,1,26,7,CAIGE,196:ZBT16,5
BLr'17,B,1,30,10,CAIGE,2:LAN16,2
BLr'17,A,1,2,16,CAIGE,2:ZBT16,5
BLr'17,B,1,44,7,CAIGE,2:ZIB16,3
BLr'17,A,1,15,13,CAIGE,2:ZIC15,5
BLr'17,B,1,26,9,CAIGE,2:ZIC16,3
BLr'17,B,1,35,12,CAIGE,20:LAN16,7
BLr'17,A,1,8,14,CAIGE,20:ZBS16,3
BLr'17,A,1,17,16,CAIGE,20:ZBT16,4
BLr'17,B,1,45,8,CAIGE,20:ZIB16,4
BLr'17,B,1,27,7,CAIGE,208:ZBT16,5
BLr'17,A,1,11,12,CAIGE,21:LAN15,3
BLr'17,B,1,36,12,CAIGE,21:LAN16,3
BLr'17,A,1,9,14,CAIGE,21:ZBS16,4
BLr'17,A,1,18,16,CAIGE,21:ZBT16,5
BLr'17,B,1,26,10,CAIGE,21:ZIC16,3
BLr'17,B,1,29,7,CAIGE,210:ZBT16,5
BLr'17,B,1,30,7,CAIGE,211:ZBT16,5
BLr'17,B,1,32,7,CAIGE,214:ZBT16,5
BLr'17,B,1,38,12,CAIGE,22:LAN16,2
BLr'17,A,1,18,12,CAIGE,22:ZBS15,5
BLr'17,A,1,20,16,CAIGE,22:ZBT16,3
BLr'17,A,1,20,13,CAIGE,22:ZIC15,4
BLr'17,B,1,27,10,CAIGE,22:ZIC16,5
BLr'17,B,1,33,7,CAIGE,220:ZBT16,5
BLr'17,B,1,35,7,CAIGE,221:ZBT16,6
BLr'17,B,1,36,7,CAIGE,223:ZBT16,5
BLr'17,B,1,38,7,CAIGE,226:ZBT16,5
BLr'17,B,1,39,7,CAIGE,229:ZBT16,5
BLr'17,B,1,39,12,CAIGE,23:LAN16,2
BLr'17,A,1,11,14,CAIGE,23:ZBS16,2
BLr'17,B,1,41,7,CAIGE,231:ZBT16,4
BLr'17,A,1,12,12,CAIGE,24:LAN15,4
BLr'17,B,1,41,12,CAIGE,24:LAN16,2
BLr'17,A,1,21,16,CAIGE,24:ZBT16,5
BLr'17,B,1,42,12,CAIGE,25:LAN16,6
BLr'17,B,1,44,12,CAIGE,26:LAN16,6
BLr'17,B,1,45,12,CAIGE,27:LAN16,5
BLr'17,B,1,47,12,CAIGE,28:LAN16,2
BLr'17,A,1,23,16,CAIGE,28:ZBT16,6
BLr'17,B,1,26,13,CAIGE,29:LAN16,3
BLr'17,B,1,32,10,CAIGE,3:LAN16,2
BLr'17,A,1,3,16,CAIGE,3:ZBT16,6
BLr'17,B,1,45,7,CAIGE,3:ZIB16,6
BLr'17,B,1,27,9,CAIGE,3:ZIC16,3
BLr'17,B,1,27,13,CAIGE,30:LAN16,5
BLr'17,A,1,2,17,CAIGE,30:ZBT16,4
BLr'17,B,1,29,13,CAIGE,31:LAN16,3
BLr'17,A,1,12,14,CAIGE,31:ZBS16,3
BLr'17,B,1,30,13,CAIGE,32:LAN16,4
BLr'17,A,1,2,12,CAIGE,32:ZID14,2
