Trial,Bay,Block,Range,Row,Expt_17,Name,NFNB 5/10/17 Z49-65,NFNB Z69-79 23/10/17
17 NFNB,A,1,7,21,CAIGE,32:ZID14,2,3
17 NFNB,A,1,7,22,CAIGE,5:LAN15,2,3
17 NFNB,A,1,7,23,CAIGE,9:LAN15,2,5
17 NFNB,A,1,7,24,Control,Control,7,7
17 NFNB,A,1,8,1,Control,VB9613,7,8
17 NFNB,A,1,8,2,CAIGE,12:LAN15,2,2
17 NFNB,A,1,8,3,CAIGE,15:LAN15,2,2
17 NFNB,A,1,8,4,CAIGE,17:LAN15,3,1
17 NFNB,A,1,8,5,CAIGE,21:LAN15,2,1
17 NFNB,A,1,8,6,CAIGE,24:LAN15,2,1
17 NFNB,A,1,8,7,CAIGE,14:ZBS15,2,1
17 NFNB,A,1,8,8,CAIGE,15:ZBS15,2,1
17 NFNB,A,1,8,9,Control,Fathom,4,4
17 NFNB,A,1,8,10,CAIGE,19:ZBS15,2,1
17 NFNB,A,1,8,11,CAIGE,22:ZBS15,6,6
17 NFNB,A,1,8,12,CAIGE,35:ZBS15,4,1
17 NFNB,A,1,8,13,CAIGE,41:ZBS15,2,1
17 NFNB,A,1,8,14,CAIGE,45:ZBS15,2,1
17 NFNB,A,1,8,15,CAIGE,48:ZBS15,2,1
17 NFNB,A,1,8,16,CAIGE,49:ZBS15,3,6
17 NFNB,A,1,8,17,Control,VB9613,7,7
17 NFNB,A,1,8,18,CAIGE,50:ZBS15,m,m
17 NFNB,A,1,8,19,CAIGE,52:ZBS15,2,1
17 NFNB,A,1,8,20,CAIGE,53:ZBS15,2,1
17 NFNB,A,1,8,21,CAIGE,60:ZBS15,3,1
17 NFNB,A,1,8,22,CAIGE,78:ZBS15,2,1
17 NFNB,A,1,8,23,CAIGE,81:ZBS15,2,1
17 NFNB,A,1,8,24,Control,VB9613,7,7
17 NFNB,A,1,9,1,Control,VB9613,8,8
17 NFNB,A,1,9,2,CAIGE,12:ZIB15,2,3
17 NFNB,A,1,9,3,CAIGE,2:ZIC15,2,1
17 NFNB,A,1,9,4,CAIGE,11:ZIC15,2,1
17 NFNB,A,1,9,5,CAIGE,18:ZIC15,2,3
17 NFNB,A,1,9,6,CAIGE,22:ZIC15,3,1
17 NFNB,A,1,9,7,CAIGE,5:ZBS16,3,1
17 NFNB,A,1,9,8,CAIGE,7:ZBS16,2,1
17 NFNB,A,1,9,9,Control,Bass,6,6
17 NFNB,A,1,9,10,CAIGE,8:ZBS16,2,1
17 NFNB,A,1,9,11,CAIGE,13:ZBS16,2,1
17 NFNB,A,1,9,12,CAIGE,16:ZBS16,2,1
17 NFNB,A,1,9,13,CAIGE,18:ZBS16,2,1
17 NFNB,A,1,9,14,CAIGE,20:ZBS16,m,m
17 NFNB,A,1,9,15,CAIGE,21:ZBS16,2,1
17 NFNB,A,1,9,16,CAIGE,23:ZBS16,2,1
17 NFNB,A,1,9,17,Control,Planet,7,6
17 NFNB,A,1,9,18,CAIGE,31:ZBS16,3,3
17 NFNB,A,1,9,19,CAIGE,34:ZBS16,2,1
17 NFNB,A,1,9,20,CAIGE,37:ZBS16,2,1
17 NFNB,A,1,9,21,CAIGE,46:ZBS16,2,1
17 NFNB,A,1,9,22,CAIGE,56:ZBS16,4,1
17 NFNB,A,1,9,23,CAIGE,67:ZBS16,3,1
17 NFNB,A,1,9,24,Control,Rosalind,2,1
17 NFNB,A,1,10,1,Control,VB9613,8,8
17 NFNB,A,1,10,2,CAIGE,81:ZBS16,2,1
17 NFNB,A,1,10,3,CAIGE,85:ZBS16,2,1
17 NFNB,A,1,10,4,CAIGE,86:ZBS16,3,3
17 NFNB,A,1,10,5,CAIGE,87:ZBS16,5,5
17 NFNB,A,1,10,6,CAIGE,88:ZBS16,2,1
17 NFNB,A,1,10,7,CAIGE,89:ZBS16,2,1
17 NFNB,A,1,10,8,CAIGE,90:ZBS16,2,1
17 NFNB,A,1,10,9,Control,Bass,6,5
17 NFNB,A,1,10,10,CAIGE,91:ZBS16,6,7
17 NFNB,A,1,10,11,CAIGE,92:ZBS16,2,3
17 NFNB,A,1,10,12,CAIGE,93:ZBS16,2,1
17 NFNB,A,1,10,13,CAIGE,94:ZBS16,3,1
17 NFNB,A,1,10,14,CAIGE,95:ZBS16,m,m
17 NFNB,A,1,10,15,CAIGE,96:ZBS16,2,1
17 NFNB,A,1,10,16,CAIGE,97:ZBS16,2,m
17 NFNB,A,1,10,17,Control,Compass,2,1
17 NFNB,A,1,10,18,CAIGE,98:ZBS16,2,4
17 NFNB,A,1,10,19,CAIGE,99:ZBS16,2,1
17 NFNB,A,1,10,20,CAIGE,100:ZBS16,2,2
17 NFNB,A,1,10,21,CAIGE,2:ZBT16,1,1
17 NFNB,A,1,10,22,CAIGE,3:ZBT16,1,1
17 NFNB,A,1,10,23,CAIGE,4:ZBT16,1,1
17 NFNB,A,1,10,24,Control,Control,7,8
17 NFNB,A,1,12,1,Control,VB9613,7,8
17 NFNB,A,1,12,2,CAIGE,7:ZBT16,3,6
17 NFNB,A,1,12,3,CAIGE,8:ZBT16,2,1
17 NFNB,A,1,12,4,CAIGE,9:ZBT16,6,6
17 NFNB,A,1,12,5,CAIGE,11:ZBT16,2,6
17 NFNB,A,1,12,6,CAIGE,12:ZBT16,5,6
17 NFNB,A,1,12,7,CAIGE,17:ZBT16,3,5
17 NFNB,A,1,12,8,CAIGE,18:ZBT16,2,5
17 NFNB,A,1,12,9,Control,Control,8,8
17 NFNB,A,1,12,10,CAIGE,20:ZBT16,3,2
17 NFNB,A,1,12,11,CAIGE,21:ZBT16,2,2
17 NFNB,A,1,12,12,CAIGE,22:ZBT16,3,3
17 NFNB,A,1,12,13,CAIGE,24:ZBT16,2,2
17 NFNB,A,1,12,14,CAIGE,28:ZBT16,2,2
17 NFNB,A,1,12,15,CAIGE,30:ZBT16,2,2
17 NFNB,A,1,12,16,CAIGE,37:ZBT16,3,2
17 NFNB,A,1,12,17,Control,Rosalind,2,2
17 NFNB,A,1,12,18,CAIGE,38:ZBT16,2,2
17 NFNB,A,1,12,19,CAIGE,41:ZBT16,2,2
17 NFNB,A,1,12,20,CAIGE,44:ZBT16,2,2
17 NFNB,A,1,12,21,CAIGE,50:ZBT16,2,2
17 NFNB,A,1,12,22,CAIGE,52:ZBT16,3,2
17 NFNB,A,1,12,23,CAIGE,53:ZBT16,3,2
17 NFNB,A,1,12,24,Control,VB9613,7,8
17 NFNB,A,1,13,1,Control,VB9613,7,8
17 NFNB,A,1,13,2,CAIGE,54:ZBT16,2,1
17 NFNB,A,1,13,3,CAIGE,58:ZBT16,2,1
17 NFNB,A,1,13,4,CAIGE,59:ZBT16,2,2
17 NFNB,A,1,13,5,CAIGE,64:ZBT16,2,2
17 NFNB,A,1,13,6,CAIGE,65:ZBT16,2,2
17 NFNB,A,1,13,7,CAIGE,68:ZBT16,2,2
17 NFNB,A,1,13,8,CAIGE,70:ZBT16,2,6
17 NFNB,A,1,13,9,Control,Bass,6,5
17 NFNB,A,1,13,10,CAIGE,71:ZBT16,m,m
17 NFNB,A,1,13,11,CAIGE,76:ZBT16,2,2
17 NFNB,A,1,13,12,CAIGE,79:ZBT16,2,2
17 NFNB,A,1,13,13,CAIGE,83:ZBT16,m,2
17 NFNB,A,1,13,14,CAIGE,87:ZBT16,2,2
17 NFNB,A,1,13,15,CAIGE,88:ZBT16,2,3
17 NFNB,A,1,13,16,CAIGE,92:ZBT16,2,4
17 NFNB,A,1,13,17,Control,Compass,4,2
17 NFNB,A,1,13,18,CAIGE,94:ZBT16,2,2
17 NFNB,A,1,13,19,CAIGE,97:ZBT16,m,m
17 NFNB,A,1,13,20,CAIGE,98:ZBT16,m,7
17 NFNB,A,1,13,21,CAIGE,100:ZBT16,5,7
17 NFNB,A,1,13,22,CAIGE,102:ZBT16,7,7
17 NFNB,A,1,13,23,CAIGE,103:ZBT16,3,2
17 NFNB,A,1,13,24,Control,VB9613,8,8
17 NFNB,A,1,14,1,Control,Planet,6,7
17 NFNB,A,1,14,2,CAIGE,108:ZBT16,2,2
17 NFNB,A,1,14,3,CAIGE,110:ZBT16,6,6
17 NFNB,A,1,14,4,CAIGE,116:ZBT16,m,m
17 NFNB,A,1,14,5,CAIGE,119:ZBT16,2,1
17 NFNB,A,1,14,6,CAIGE,124:ZBT16,4,1
17 NFNB,A,1,14,7,CAIGE,125:ZBT16,5,1
17 NFNB,A,1,14,8,CAIGE,126:ZBT16,2,1
17 NFNB,A,1,14,9,Control,VB9613,7,8
17 NFNB,A,1,14,10,CAIGE,129:ZBT16,2,1
17 NFNB,A,1,14,11,CAIGE,132:ZBT16,4,1
17 NFNB,A,1,14,12,CAIGE,135:ZBT16,3,1
17 NFNB,A,1,14,13,CAIGE,136:ZBT16,2,1
17 NFNB,A,1,14,14,CAIGE,142:ZBT16,2,3
17 NFNB,A,1,14,15,CAIGE,145:ZBT16,3,2
17 NFNB,A,1,14,16,CAIGE,148:ZBT16,1,1
17 NFNB,A,1,14,17,Control,VB9613,7,8
17 NFNB,A,1,14,18,CAIGE,150:ZBT16,1,2
17 NFNB,A,1,14,19,CAIGE,152:ZBT16,m,m
17 NFNB,A,1,14,20,CAIGE,153:ZBT16,1,1
17 NFNB,A,1,14,21,CAIGE,155:ZBT16,1,1
17 NFNB,A,1,14,22,CAIGE,157:ZBT16,1,3
17 NFNB,A,1,14,23,CAIGE,158:ZBT16,2,1
17 NFNB,A,1,14,24,Control,Planet,7,7
17 NFNB,A,1,15,1,Control,VB9613,7,7
17 NFNB,A,1,15,2,CAIGE,163:ZBT16,2,1
17 NFNB,A,1,15,3,CAIGE,169:ZBT16,2,1
17 NFNB,A,1,15,4,CAIGE,175:ZBT16,2,1
17 NFNB,A,1,15,5,CAIGE,177:ZBT16,2,1
17 NFNB,A,1,15,6,CAIGE,179:ZBT16,3,3
17 NFNB,A,1,15,7,CAIGE,180:ZBT16,2,1
17 NFNB,A,1,15,8,CAIGE,182:ZBT16,2,1
17 NFNB,A,1,15,9,Control,VB9613,7,7
17 NFNB,A,1,15,10,CAIGE,183:ZBT16,2,1
17 NFNB,A,1,15,11,CAIGE,188:ZBT16,2,1
17 NFNB,A,1,15,12,CAIGE,191:ZBT16,2,1
17 NFNB,A,1,15,13,CAIGE,196:ZBT16,2,1
17 NFNB,A,1,15,14,CAIGE,208:ZBT16,1,1
17 NFNB,A,1,15,15,CAIGE,210:ZBT16,1,1
17 NFNB,A,1,15,16,CAIGE,211:ZBT16,1,3
17 NFNB,A,1,15,17,Control,Fathom,4,4
17 NFNB,A,1,15,18,CAIGE,214:ZBT16,3,1
17 NFNB,A,1,15,19,CAIGE,220:ZBT16,2,1
17 NFNB,A,1,15,20,CAIGE,221:ZBT16,2,1
17 NFNB,A,1,15,21,CAIGE,223:ZBT16,5,5
17 NFNB,A,1,15,22,CAIGE,226:ZBT16,2,1
17 NFNB,A,1,15,23,CAIGE,229:ZBT16,2,2
17 NFNB,A,1,15,24,Control,Bass,5,6
17 NFNB,A,1,16,1,Control,Fathom,4,4
17 NFNB,A,1,16,2,CAIGE,231:ZBT16,1,2
17 NFNB,A,1,16,3,CAIGE,1:ZIB16,2,2
17 NFNB,A,1,16,4,CAIGE,2:ZIB16,2,2
17 NFNB,A,1,16,5,CAIGE,3:ZIB16,m,2
17 NFNB,A,1,16,6,CAIGE,5:ZIB16,2,2
17 NFNB,A,1,16,7,CAIGE,6:ZIB16,2,2
17 NFNB,A,1,16,8,CAIGE,7:ZIB16,3,2
17 NFNB,A,1,16,9,Control,VB9613,8,8
17 NFNB,A,1,16,10,CAIGE,8:ZIB16,2,2
17 NFNB,A,1,16,11,CAIGE,9:ZIB16,4,2
17 NFNB,A,1,16,12,CAIGE,10:ZIB16,2,2
17 NFNB,A,1,16,13,CAIGE,12:ZIB16,2,2
17 NFNB,A,1,16,14,CAIGE,13:ZIB16,2,2
17 NFNB,A,1,16,15,CAIGE,14:ZIB16,4,2
17 NFNB,A,1,16,16,CAIGE,15:ZIB16,3,2
17 NFNB,A,1,16,17,Control,Control,8,7
17 NFNB,A,1,16,18,CAIGE,16:ZIB16,1,3
17 NFNB,A,1,16,19,CAIGE,17:ZIB16,2,2
17 NFNB,A,1,16,20,CAIGE,18:ZIB16,2,2
17 NFNB,A,1,16,21,CAIGE,19:ZIB16,2,1
17 NFNB,A,1,16,22,CAIGE,20:ZIB16,3,1
17 NFNB,A,1,16,23,CAIGE,1:ZIC16,3,1
17 NFNB,A,1,16,24,Control,Control,7,7
17 NFNB,A,1,17,1,Control,Control,7,7
17 NFNB,A,1,17,2,CAIGE,2:ZIC16,4,2
17 NFNB,A,1,17,3,CAIGE,3:ZIC16,2,3
17 NFNB,A,1,17,4,CAIGE,4:ZIC16,2,1
17 NFNB,A,1,17,5,CAIGE,5:ZIC16,2,1
17 NFNB,A,1,17,6,CAIGE,6:ZIC16,2,1
17 NFNB,A,1,17,7,CAIGE,7:ZIC16,2,1
17 NFNB,A,1,17,8,CAIGE,8:ZIC16,2,2
17 NFNB,A,1,17,9,Control,Planet,7,7
17 NFNB,A,1,17,10,CAIGE,9:ZIC16,2,1
17 NFNB,A,1,17,11,CAIGE,10:ZIC16,2,1
17 NFNB,A,1,17,12,CAIGE,11:ZIC16,2,1
17 NFNB,A,1,17,13,CAIGE,12:ZIC16,2,1
17 NFNB,A,1,17,14,CAIGE,13:ZIC16,2,1
17 NFNB,A,1,17,15,CAIGE,15:ZIC16,2,1
17 NFNB,A,1,17,16,CAIGE,16:ZIC16,2,1
17 NFNB,A,1,17,17,Control,VB9613,7,7
17 NFNB,A,1,17,18,CAIGE,17:ZIC16,2,1
17 NFNB,A,1,17,19,CAIGE,21:ZIC16,2,1
17 NFNB,A,1,17,20,CAIGE,22:ZIC16,2,1
17 NFNB,A,1,17,21,CAIGE,1:LAN16,2,1
17 NFNB,A,1,17,22,CAIGE,2:LAN16,2,1
17 NFNB,A,1,17,23,CAIGE,3:LAN16,2,1
17 NFNB,A,1,17,24,Control,Rosalind,2,2
17 NFNB,A,1,18,1,Control,Compass,3,3
17 NFNB,A,1,18,2,CAIGE,4:LAN16,2,2
17 NFNB,A,1,18,3,CAIGE,5:LAN16,2,2
17 NFNB,A,1,18,4,CAIGE,6:LAN16,2,2
17 NFNB,A,1,18,5,CAIGE,7:LAN16,m,m
17 NFNB,A,1,18,6,CAIGE,8:LAN16,2,3
17 NFNB,A,1,18,7,CAIGE,9:LAN16,2,2
17 NFNB,A,1,18,8,CAIGE,10:LAN16,2,2
17 NFNB,A,1,18,9,Control,VB9613,7,7
17 NFNB,A,1,18,10,CAIGE,11:LAN16,2,2
17 NFNB,A,1,18,11,CAIGE,12:LAN16,2,2
17 NFNB,A,1,18,12,CAIGE,13:LAN16,2,1
17 NFNB,A,1,18,13,CAIGE,14:LAN16,2,1
17 NFNB,A,1,18,14,CAIGE,15:LAN16,m,1
17 NFNB,A,1,18,15,CAIGE,16:LAN16,2,1
17 NFNB,A,1,18,16,CAIGE,17:LAN16,2,1
17 NFNB,A,1,18,17,Control,Control,8,8
17 NFNB,A,1,18,18,CAIGE,18:LAN16,2,1
17 NFNB,A,1,18,19,CAIGE,19:LAN16,3,1
17 NFNB,A,1,18,20,CAIGE,20:LAN16,3,1
17 NFNB,A,1,18,21,CAIGE,21:LAN16,2,1
17 NFNB,A,1,18,22,CAIGE,22:LAN16,2,1
17 NFNB,A,1,18,23,CAIGE,23:LAN16,2,1
17 NFNB,A,1,18,24,Control,Control,6,7
17 NFNB,A,1,19,1,Control,VB9613,7,8
