Trial,Bay,Block,Range,Row,Expt_17,Name,SFNB Z69-89 3/11/17
SFNB'17,A,3,48,21,CAIGE,32:ZID14,7
SFNB'17,A,3,48,22,CAIGE,5:LAN15,4
SFNB'17,A,3,48,23,CAIGE,9:LAN15,6
SFNB'17,A,3,48,24,Control,Dash,7
SFNB'17,A,3,49,1,Control,Dash,8
SFNB'17,A,3,49,2,CAIGE,12:LAN15,5
SFNB'17,A,3,49,3,CAIGE,15:LAN15,5
SFNB'17,A,3,49,4,CAIGE,17:LAN15,7
SFNB'17,A,3,49,5,CAIGE,21:LAN15,5
SFNB'17,A,3,49,6,CAIGE,24:LAN15,5
SFNB'17,A,3,49,7,CAIGE,14:ZBS15,7
SFNB'17,A,3,49,8,CAIGE,15:ZBS15,6
SFNB'17,A,3,49,9,Control,Dash,7
SFNB'17,A,3,49,10,CAIGE,19:ZBS15,6
SFNB'17,A,3,49,11,CAIGE,22:ZBS15,5
SFNB'17,A,3,49,12,CAIGE,35:ZBS15,m
SFNB'17,A,3,49,13,CAIGE,41:ZBS15,4
SFNB'17,A,3,49,14,CAIGE,45:ZBS15,6
SFNB'17,A,3,49,15,CAIGE,48:ZBS15,5
SFNB'17,A,3,49,16,CAIGE,49:ZBS15,6
SFNB'17,A,3,49,17,Control,Hindmarsh,7
SFNB'17,A,3,49,18,CAIGE,50:ZBS15,m
SFNB'17,A,3,49,19,CAIGE,52:ZBS15,5
SFNB'17,A,3,49,20,CAIGE,53:ZBS15,5
SFNB'17,A,3,49,21,CAIGE,60:ZBS15,5
SFNB'17,A,3,49,22,CAIGE,78:ZBS15,4
SFNB'17,A,3,49,23,CAIGE,81:ZBS15,5
SFNB'17,A,3,49,24,Control,Planet,7
SFNB'17,A,3,50,1,Control,Control,m
SFNB'17,A,3,50,2,CAIGE,12:ZIB15,7
SFNB'17,A,3,50,3,CAIGE,2:ZIC15,7
SFNB'17,A,3,50,4,CAIGE,11:ZIC15,6
SFNB'17,A,3,50,5,CAIGE,18:ZIC15,6
SFNB'17,A,3,50,6,CAIGE,22:ZIC15,5
SFNB'17,A,3,50,7,CAIGE,5:ZBS16,5
SFNB'17,A,3,50,8,CAIGE,7:ZBS16,5
SFNB'17,A,3,50,9,Control,Fathom,2
SFNB'17,A,3,50,10,CAIGE,8:ZBS16,5
SFNB'17,A,3,50,11,CAIGE,13:ZBS16,3
SFNB'17,A,3,50,12,CAIGE,16:ZBS16,5
SFNB'17,A,3,50,13,CAIGE,18:ZBS16,5
SFNB'17,A,3,50,14,CAIGE,20:ZBS16,5
SFNB'17,A,3,50,15,CAIGE,21:ZBS16,5
SFNB'17,A,3,50,16,CAIGE,23:ZBS16,5
SFNB'17,A,3,50,17,Control,Dash,7
SFNB'17,A,3,50,18,CAIGE,31:ZBS16,3
SFNB'17,A,3,50,19,CAIGE,34:ZBS16,4
SFNB'17,A,3,50,20,CAIGE,37:ZBS16,6
SFNB'17,A,3,50,21,CAIGE,46:ZBS16,5
SFNB'17,A,3,50,22,CAIGE,56:ZBS16,5
SFNB'17,A,3,50,23,CAIGE,67:ZBS16,3
SFNB'17,A,3,50,24,Control,Schooner,6
SFNB'17,A,3,51,1,Marker,Tincurrin,
SFNB'17,A,3,51,2,CAIGE,81:ZBS16,6
SFNB'17,A,3,51,3,CAIGE,85:ZBS16,6
SFNB'17,A,3,51,4,CAIGE,86:ZBS16,6
SFNB'17,A,3,51,5,CAIGE,87:ZBS16,5
SFNB'17,A,3,51,6,CAIGE,88:ZBS16,5
SFNB'17,A,3,51,7,CAIGE,89:ZBS16,6
SFNB'17,A,3,51,8,CAIGE,90:ZBS16,m
SFNB'17,A,3,51,9,Marker,Tincurrin,
SFNB'17,A,3,51,10,CAIGE,91:ZBS16,5
SFNB'17,A,3,51,11,CAIGE,92:ZBS16,5
SFNB'17,A,3,51,12,CAIGE,93:ZBS16,7
SFNB'17,A,3,51,13,CAIGE,94:ZBS16,4
SFNB'17,A,3,51,14,CAIGE,95:ZBS16,6
SFNB'17,A,3,51,15,CAIGE,96:ZBS16,6
SFNB'17,A,3,51,16,CAIGE,97:ZBS16,m
SFNB'17,A,3,51,17,Marker,Tincurrin,
SFNB'17,A,3,51,18,CAIGE,98:ZBS16,6
SFNB'17,A,3,51,19,CAIGE,99:ZBS16,6
SFNB'17,A,3,51,20,CAIGE,100:ZBS16,5
SFNB'17,A,3,51,21,CAIGE,2:ZBT16,3
SFNB'17,A,3,51,22,CAIGE,3:ZBT16,3
SFNB'17,A,3,51,23,CAIGE,4:ZBT16,3
SFNB'17,A,3,51,24,Marker,Tincurrin,
SFNB'17,A,3,52,1,Control,Schooner,6
SFNB'17,A,3,52,2,CAIGE,7:ZBT16,6
SFNB'17,A,3,52,3,CAIGE,8:ZBT16,4
SFNB'17,A,3,52,4,CAIGE,9:ZBT16,4
SFNB'17,A,3,52,5,CAIGE,11:ZBT16,2
SFNB'17,A,3,52,6,CAIGE,12:ZBT16,3
SFNB'17,A,3,52,7,CAIGE,17:ZBT16,5
SFNB'17,A,3,52,8,CAIGE,18:ZBT16,5
SFNB'17,A,3,52,9,Control,Dash,8
SFNB'17,A,3,52,10,CAIGE,20:ZBT16,6
SFNB'17,A,3,52,11,CAIGE,21:ZBT16,6
SFNB'17,A,3,52,12,CAIGE,22:ZBT16,7
SFNB'17,A,3,52,13,CAIGE,24:ZBT16,6
SFNB'17,A,3,52,14,CAIGE,28:ZBT16,6
SFNB'17,A,3,52,15,CAIGE,30:ZBT16,6
SFNB'17,A,3,52,16,CAIGE,37:ZBT16,6
SFNB'17,A,3,52,17,Control,Dash,8
SFNB'17,A,3,52,18,CAIGE,38:ZBT16,m
SFNB'17,A,3,52,19,CAIGE,41:ZBT16,6
SFNB'17,A,3,52,20,CAIGE,44:ZBT16,6
SFNB'17,A,3,52,21,CAIGE,50:ZBT16,6
SFNB'17,A,3,52,22,CAIGE,52:ZBT16,7
SFNB'17,A,3,52,23,CAIGE,53:ZBT16,6
SFNB'17,A,3,52,24,Control,Schooner,6
SFNB'17,A,3,53,1,Control,Schooner,m
SFNB'17,A,3,53,2,CAIGE,54:ZBT16,6
SFNB'17,A,3,53,3,CAIGE,58:ZBT16,6
SFNB'17,A,3,53,4,CAIGE,59:ZBT16,5
SFNB'17,A,3,53,5,CAIGE,64:ZBT16,5
SFNB'17,A,3,53,6,CAIGE,65:ZBT16,5
SFNB'17,A,3,53,7,CAIGE,68:ZBT16,m
SFNB'17,A,3,53,8,CAIGE,70:ZBT16,m
SFNB'17,A,3,53,9,Control,Fathom,4
SFNB'17,A,3,53,10,CAIGE,71:ZBT16,6
SFNB'17,A,3,53,11,CAIGE,76:ZBT16,5
SFNB'17,A,3,53,12,CAIGE,79:ZBT16,5
SFNB'17,A,3,53,13,CAIGE,83:ZBT16,5
SFNB'17,A,3,53,14,CAIGE,87:ZBT16,6
SFNB'17,A,3,53,15,CAIGE,88:ZBT16,7
SFNB'17,A,3,53,16,CAIGE,92:ZBT16,6
SFNB'17,A,3,53,17,Control,Planet,6
SFNB'17,A,3,53,18,CAIGE,94:ZBT16,6
SFNB'17,A,3,53,19,CAIGE,97:ZBT16,6
SFNB'17,A,3,53,20,CAIGE,98:ZBT16,6
SFNB'17,A,3,53,21,CAIGE,100:ZBT16,5
SFNB'17,A,3,53,22,CAIGE,102:ZBT16,5
SFNB'17,A,3,53,23,CAIGE,103:ZBT16,6
SFNB'17,A,3,53,24,Control,Control,7
SFNB'17,A,3,54,1,Control,Dash,m
SFNB'17,A,3,54,2,CAIGE,108:ZBT16,4
SFNB'17,A,3,54,3,CAIGE,110:ZBT16,3
SFNB'17,A,3,54,4,CAIGE,116:ZBT16,5
SFNB'17,A,3,54,5,CAIGE,119:ZBT16,6
SFNB'17,A,3,54,6,CAIGE,124:ZBT16,5
SFNB'17,A,3,54,7,CAIGE,125:ZBT16,6
SFNB'17,A,3,54,8,CAIGE,126:ZBT16,m
SFNB'17,A,3,54,9,Control,Fathom,5
SFNB'17,A,3,54,10,CAIGE,129:ZBT16,5
SFNB'17,A,3,54,11,CAIGE,132:ZBT16,5
SFNB'17,A,3,54,12,CAIGE,135:ZBT16,m
SFNB'17,A,3,54,13,CAIGE,136:ZBT16,5
SFNB'17,A,3,54,14,CAIGE,142:ZBT16,5
SFNB'17,A,3,54,15,CAIGE,145:ZBT16,5
SFNB'17,A,3,54,16,CAIGE,148:ZBT16,5
SFNB'17,A,3,54,17,Control,Dash,8
SFNB'17,A,3,54,18,CAIGE,150:ZBT16,6
SFNB'17,A,3,54,19,CAIGE,152:ZBT16,6
SFNB'17,A,3,54,20,CAIGE,153:ZBT16,6
SFNB'17,A,3,54,21,CAIGE,155:ZBT16,6
SFNB'17,A,3,54,22,CAIGE,157:ZBT16,5
SFNB'17,A,3,54,23,CAIGE,158:ZBT16,5
SFNB'17,A,3,54,24,Control,Compass,6
SFNB'17,A,3,55,1,Control,Keel,3
SFNB'17,A,3,55,2,CAIGE,163:ZBT16,m
SFNB'17,A,3,55,3,CAIGE,169:ZBT16,6
SFNB'17,A,3,55,4,CAIGE,175:ZBT16,6
SFNB'17,A,3,55,5,CAIGE,177:ZBT16,6
SFNB'17,A,3,55,6,CAIGE,179:ZBT16,6
SFNB'17,A,3,55,7,CAIGE,180:ZBT16,6
SFNB'17,A,3,55,8,CAIGE,182:ZBT16,5
SFNB'17,A,3,55,9,Control,Compass,5
SFNB'17,A,3,55,10,CAIGE,183:ZBT16,5
SFNB'17,A,3,55,11,CAIGE,188:ZBT16,5
SFNB'17,A,3,55,12,CAIGE,191:ZBT16,5
SFNB'17,A,3,55,13,CAIGE,196:ZBT16,5
SFNB'17,A,3,55,14,CAIGE,208:ZBT16,5
SFNB'17,A,3,55,15,CAIGE,210:ZBT16,5
SFNB'17,A,3,55,16,CAIGE,211:ZBT16,5
SFNB'17,A,3,55,17,Control,Fathom,4
SFNB'17,A,3,55,18,CAIGE,214:ZBT16,5
SFNB'17,A,3,55,19,CAIGE,220:ZBT16,5
SFNB'17,A,3,55,20,CAIGE,221:ZBT16,6
SFNB'17,A,3,55,21,CAIGE,223:ZBT16,6
SFNB'17,A,3,55,22,CAIGE,226:ZBT16,6
SFNB'17,A,3,55,23,CAIGE,229:ZBT16,6
SFNB'17,A,3,55,24,Control,Fathom,3
SFNB'17,A,3,56,1,Control,Control,7
SFNB'17,A,3,56,2,CAIGE,231:ZBT16,6
SFNB'17,A,3,56,3,CAIGE,1:ZIB16,8
SFNB'17,A,3,56,4,CAIGE,2:ZIB16,6
SFNB'17,A,3,56,5,CAIGE,3:ZIB16,5
SFNB'17,A,3,56,6,CAIGE,5:ZIB16,7
SFNB'17,A,3,56,7,CAIGE,6:ZIB16,5
SFNB'17,A,3,56,8,CAIGE,7:ZIB16,6
SFNB'17,A,3,56,9,Control,Schooner,m
SFNB'17,A,3,56,10,CAIGE,8:ZIB16,6
SFNB'17,A,3,56,11,CAIGE,9:ZIB16,6
SFNB'17,A,3,56,12,CAIGE,10:ZIB16,6
SFNB'17,A,3,56,13,CAIGE,12:ZIB16,6
SFNB'17,A,3,56,14,CAIGE,13:ZIB16,7
SFNB'17,A,3,56,15,CAIGE,14:ZIB16,7
SFNB'17,A,3,56,16,CAIGE,15:ZIB16,6
SFNB'17,A,3,56,17,Control,Keel,3
