EntryCD,GID,Cross,SelHistory,NurseryName
1:GCP16,600103719,NA,NA,NA
1:LAN15,200001218,Nawair1,ICARDA # 177,LANDRACES
1:LAN16,400014812,NA,IG 28560,LANDRACES LOW INPUT
1:LAN17,400017625,NA,IG 17431,SAJID REHMAN LANDRACE SELECTIONS
1:LAN18,200003030,NA,NA,SINGLE SPIKE LANDRACE SELECTIONS
1:RWA16,200002756,Misratch/R001,ICB99.0127,ACCESSIONS SELECTED FROM FIGS SUBSETS FOR  MAJOR DISEASES/INSECTS
1:ZBS15,200001996,Weeah11//WI2291/Bgs/3/ER/Apm//AC253,ICB94.0707-0AP-12AP-0AP-3AP-0AP,BREEDER SELECTIONS
1:ZBS16,400015761,SCARLETT/PFC 88209,F10176-0TR-0MR,BREEDERS SELECTIONS HIGH IMPUT
1:ZBS17,5426856,KORU/TRIUMPH-BAR//GUNTHER/3/MSEL,CBSS01M00509T-0TOPY-15M-1M-1Y-1M-0Y,ELITE BREEGING LINES/NURSERIES
1:ZBS18,200004386,CANELA/5/GOB/HUMAI10/3/MPYT169.1Y/LAUREL//OLMO/4/CANELA,CBSS06Y00117S-2Y-0M-05T-05CJ-05T-10CJ-0CH,HIGH INPUT LINES
1:ZBS19,600103745,Reem/TR05671,HIICB10.0172-0AP-0TR-0MR-5MR,BREEDERS SELECTIONS
1:ZBT16,400016966,AFG-ICB-123459/Star*2,ICB04.1447-0AP-5AP-0AP,BREEDERS SELECTIONS LOW IMPUT
1:ZBT18,200004766,WI2269/Espe/3/WI2291/Bgs//Hml-02/4/Pamir-149/Victoria,ICB08-0229-0AP-0AP-025AP-3AUB-0KF,LOW INPUT LINES
1:ZBT19,NA,Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm/5/Clipper/Volla/3/Arr/Esp//Alger/Ceres362-1-1/4/Hml,ICB08.0577-0AP-0AP-025AP-4AUB-0KF,BREEDERS SELCTIONS LOW INPUT
1:ZIA14,400010499,M104/3/LEGACY//PENCO/CHEVRON-BAR,CBSS05M00017S-5M-0Y-0M-0AP-0TR,INTERNATIONAL NAKED BARLEY YIELD TRIAL - HIGH INPUT
1:ZIB15,304660,EMPTY PLOT,LOCAL CHECK,GLOBAL SPRING BARLEY YIELD TRIAL
1:ZIB16,400018764,Rhn-03/AC_Bacon,ICB02.0789-0AP-8AP-0AP-0MC,3RD GSBYT
1:ZIC14,400010461,ARUPO/K8755//MORA/3/SCARLETT,CBSS05M00084S-5M-0Y-0M-0AP-0TR,INTERNATIONAL BARLEY YIELD TRIAL - HIGH INPUT CONDITIONS
1:ZIC15,200001280,ADAIR/6/Vmorales,CB06WM00007S-7M-0AP-0AP-0AP,INTERNATIONAL  BARLEY YIELD TRIAL - HIGH INPUT
1:ZIC16,400018180,LBIRAN/UNA80//LIGNEE640/3/LEGACY//PENCO/CHEVRON-BAR,CBSS07Y00065S-0AP-0AP,INTERNATIONAL BARLEY YIELD TRIAL-HIGH INPUT 
1:ZIC18,200003025,"MERIT,B/4/AZAF/3/ARUPO/K8755//MORA/5/MSEL",NA,RAMESH VERMA SELECTIONS
1:ZIE14,400011423,Viringa'S'/Radical//Mattina,ICB06.1675-0AP-1AP-0AP,INTERNATIONAL WINTER BARLEY YIELD TRIAL
2:GCP16,600103720,NA,NA,NA
2:LAN15,200001219,IG 32574,ICARDA # 178,LANDRACES
2:LAN16,400014811,NA,IG 16918,LANDRACES LOW INPUT
2:LAN17,400017697,NA,IG 24418,SAJID REHMAN LANDRACE SELECTIONS
2:LAN18,200002234,NA,NA,SINGLE SPIKE LANDRACE SELECTIONS
2:RWA16,200002757,Misratch/R001,ICB99.0127,ACCESSIONS SELECTED FROM FIGS SUBSETS FOR  MAJOR DISEASES/INSECTS
2:ZBS15,200001311,Pamir-147/Sonata/3/Pamir-154//ICB-100709/WB156,ICB03.2240-0AP-10AP-0AP,BREEDER SELECTIONS
2:ZBS16,400016163,J09046   F3   10/030549,2:ZBS16,BREEDERS SELECTIONS HIGH IMPUT
2:ZBS17,400017875,BICHY2000//GOB/HUMAI10,CBSS04M00222S-8M-0Y-0M-0Y-1M-0AP,ELITE BREEGING LINES/NURSERIES
2:ZBS18,200004755,CANELA//LIMON/BICHY2000,CBSS07Y00382S-5T-05T-05CJ -05CH-3CJ-0CH,HIGH INPUT LINES
2:ZBS19,600103860,Reem/TR05671,HIICB10.0172-0AP-0TR-0MR-2MR,BREEDERS SELECTIONS
2:ZBT16,200001990,Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm,ICB92.0926-0AP-3AP-0AP-8TR-4TR-0AP-4AP-0AP,BREEDERS SELECTIONS LOW IMPUT
2:ZBT18,200005125,Emtan-1/CANELA,ICB08-0458-0AP-0AP-025AP-2AUB-0KF,LOW INPUT LINES
2:ZBT19,600103861,MADRE SELVA/Chieftain,ICB08.0607-0AP-0AP-025AP-4AUB-0KF,BREEDERS SELCTIONS LOW INPUT
2:ZIA14,400010498,RECLA 60/BICHY2000//LIMON/BICHY2000/3/CHERI,CBSS06Y00339S-28Y-0M-0AP-0TR,INTERNATIONAL NAKED BARLEY YIELD TRIAL - HIGH INPUT
2:ZIB14,400011511,Arbayan-01//As46/Aths/3/Barjouj,ICB02.0406-0AP-8AP-0AP,GLOBAL SPRING BARLEY YIELD TRIAL
2:ZIB15,400011393,NADAWA/RHN-03///LIGNEE527/RIHANE//ARAR,ICB03.0534-0AP-5AP-0AP,GLOBAL SPRING BARLEY YIELD TRIAL
2:ZIB16,400017904,Clipper//WI2291*2/WI2269/7/Hml-02/5/Cq/Cm//Apm/3/12410/4/Giza134-2L/6/Clipper/Volla/3/Arr/Esp//Alger/Ceres362-1-1/4/Hml,ICB05.0484-8AP-0AP-0MC,3RD GSBYT
2:ZIC14,400010460,BLLU/MAHIGAN,CBSS05M00370S-2M-0Y-0M-0AP-0TR,INTERNATIONAL BARLEY YIELD TRIAL - HIGH INPUT CONDITIONS
2:ZIC15,200001281,VMorales/6/CIRU/7/ZARZA,CB06M00172T-A-4M-0AP-0AP-0AP,INTERNATIONAL  BARLEY YIELD TRIAL - HIGH INPUT
2:ZIC16,400018179,CEV 96054/DEFRA,CBSS07Y00554S-0AP-0AP,INTERNATIONAL BARLEY YIELD TRIAL-HIGH INPUT 
2:ZIC18,200003026,SHYRI/3/ZHEDAR#1/SHYRI//OLMO,NA,RAMESH VERMA SELECTIONS
2:ZID14,400011706,Barque/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/2*Tadmor,ICB02.1187-0AP-17AP-0AP,GLOBAL SPRING BARLEY SCREENING NURSERY
2:ZIE14,400011887,CWB117-77-9-7//Roho/Mazurka/3/Supie/4/Sararood,ICB06.1680-0AP-8AP-0AP,INTERNATIONAL WINTER BARLEY YIELD TRIAL
3:GCP16,200001242,NA,NA,NA
3:LAN15,200001220,IG 143860,ICARDA # 179,LANDRACES
3:LAN16,400014810,NA,IG 16919,LANDRACES LOW INPUT
3:LAN17,400017624,NA,IG 24419,SAJID REHMAN LANDRACE SELECTIONS
3:LAN18,200003031,NA,NA,SINGLE SPIKE LANDRACE SELECTIONS
3:RWA16,200002758,Misratch/R001,ICB99.0127,ACCESSIONS SELECTED FROM FIGS SUBSETS FOR  MAJOR DISEASES/INSECTS
3:ZBS15,400011964,7028/2759/3/69-82//Ds/Apro/4/Arizona5908/Aths//ArabiAbiad*2/5/Menuet/ArabiAbiad//WI2198,ICB93.1381-0AP-85AP-0AP-5AP-0AP,BREEDER SELECTIONS
3:ZBS16,400016162,J09050   F3   10/030553,3:ZBS16,BREEDERS SELECTIONS HIGH IMPUT
3:ZBS17,400018585,MSEL/4/LEGACY/3/SVANHALS-BAR/MSEL//AZAF/GOB24DH,CBSS05M00214S-4M-0Y-0M-05T-05CJ-18T-0CJ,ELITE BREEGING LINES/NURSERIES
3:ZBS18,200003395,RECLA 60/BICHY2000//LIMON/BICHY2000/3/BCD12DH,CBSS06Y00340S-25Y-0M-05T-05CJ-05T-1CJ-0CH,HIGH INPUT LINES
3:ZBS19,600103881,Xena/3/LOGAN-BAR/MSEL//AZAF,HIICB10.0356-0AP-0TR-0MR-6MR,BREEDERS SELECTIONS
3:ZBT16,400015432,Weeah11//WI2291/Bgs/3/ER/Apm//AC253,ICB94.0707-0AP-12AP-0AP-3AP-0AP-2AP-0AP,BREEDERS SELECTIONS LOW IMPUT
3:ZBT18,200004757,Mo.B1337/WI2291//Moroc9-75/5/Roho//Alger/Ceres362-1-1/3/Kantara/4/Tipper,ICB08-0192-6AP-0AP-025AP-4AUB-0KF,LOW INPUT LINES
3:ZBT19,600103882,ChiCm/An57//Albert/3/Alger/Ceres362-1-1/4/Arta/5/Mundah,ICB08.0091-14AP-0AP-025AP-2AUB-0KF,BREEDERS SELCTIONS LOW INPUT
3:ZIA14,400010497,PENCO/CHEVRON-BAR//PENCO/CHEVRON-BAR,CBSS05M00139S-10M-0Y-0M-0AP-0TR,INTERNATIONAL NAKED BARLEY YIELD TRIAL - HIGH INPUT
3:ZIB14,400011441,Nadawa/Rhn-03/3/Lignee527/Rihane//Arar,ICB03.0534-0AP-25AP-0AP,GLOBAL SPRING BARLEY YIELD TRIAL
3:ZIB15,400011392,NADAWA/RHN-03///LIGNEE527/RIHANE//ARAR,ICB03.0534-0AP-15AP-0AP,GLOBAL SPRING BARLEY YIELD TRIAL
3:ZIB16,400019171,Zarjau/80-5151//OK84817,ICBH94.0402-0AP-0AP-17AP-0AP-12AP-10AP-0AP-0MC,3RD GSBYT
3:ZIC14,400010459,CAPUL/6/P.STO/3/LBIRAN/UNA80//LIGNEE640/4/BLLU/5/PETUNIA 1,CBSS05M00570S-10M-0Y-0M-0AP-0TR,INTERNATIONAL BARLEY YIELD TRIAL - HIGH INPUT CONDITIONS
3:ZIC15,200001282,STANDER-BAR/CABUYA/3/PEREGRIN/CIRU//PINON/4/ZARZA,CB06M00175T-C-13M-0AP-0AP-0AP,INTERNATIONAL  BARLEY YIELD TRIAL - HIGH INPUT
3:ZIC16,400018178,AHOR1489.58//GLORIA-BAR/COPAL/3/PRO-B/4/CAPUL/TOCTE/5/ICARO,CBSS07Y01021T-F-0AP-0AP,INTERNATIONAL BARLEY YIELD TRIAL-HIGH INPUT 
3:ZIC18,200003027,BISON 129/CANELA,NA,RAMESH VERMA SELECTIONS
3:ZID14,400011726,Arta/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor,ICB01.0476-0AP-11AP-0AP,GLOBAL SPRING BARLEY SCREENING NURSERY
3:ZIE14,400011421,Orsa/ICB100819//Gara Arpa,ICB06.1696-0AP-6AP-0AP,INTERNATIONAL WINTER BARLEY YIELD TRIAL
4:LAN15,200001221,IG 143930,ICARDA # 180,LANDRACES
4:LAN16,400014809,NA,IG 16941,LANDRACES LOW INPUT
4:LAN17,400017695,NA,IG 24458,SAJID REHMAN LANDRACE SELECTIONS
4:LAN18,200003032,NA,NA,SINGLE SPIKE LANDRACE SELECTIONS
4:RWA16,200002759,Misratch/R018,ICB99.0128,ACCESSIONS SELECTED FROM FIGS SUBSETS FOR  MAJOR DISEASES/INSECTS
4:ZBS15,400011561,Clipper//WI2291*2/WI2269/5/Soufara-02/3/RM1508/Por//WI2269/4/Hml-02/ArabiAbiad//ER/Apm,ICB05.0493-10AP-0AP,BREEDER SELECTIONS
4:ZBS16,400015760,TOCTE/TUMBO//SHYRI/3/BR2,F09710     09/D30661-0TR-0MR,BREEDERS SELECTIONS HIGH IMPUT
4:ZBS17,400018584,SHENMAI NO.3//LIMON/BICHY2000,CBSS05M00472S-8M-0Y-0M-05T-05CJ-16T-0CJ,ELITE BREEGING LINES/NURSERIES
